acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.9971904761904762,0.971142856756846,type1,0.0007,0.001963,685.0,229.33333333333334,134.66666666666666,86.33333333333333,0.8602848639455782,0.8917361111111112,0.7213333333333333,0.14133333333333334
0.997,0.9714603176268323,type1,0.0007,0.002066,691.0,215.33333333333334,119.66666666666667,85.0,0.8746322278911564,0.9077444444444445,0.7527777777777778,0.15333333333333335
0.9968174603174603,0.9699841268403189,type1,0.0007,0.002271,689.0,192.66666666666666,128.0,84.66666666666667,0.8931079931972791,0.9194638888888887,0.7742888888888889,0.15433333333333332
0.9962936507936507,0.969761904746767,type1,0.0007,0.002477,690.0,202.0,109.33333333333333,89.33333333333333,0.8980410289115647,0.9318777777777778,0.7856888888888888,0.10866666666666663
0.9960873015873016,0.9702698416331458,type1,0.0007,0.0026829999999999996,686.6666666666666,189.0,107.33333333333333,83.0,0.9091156462585034,0.9344333333333333,0.8070555555555555,0.17100000000000004
0.9942857142857143,0.9699523809977939,type1,0.0007,0.002888,689.3333333333334,184.33333333333334,96.66666666666667,86.66666666666667,0.9064136904761906,0.9380388888888888,0.8062444444444444,0.13466666666666668
0.9940634920634922,0.9675079363035777,type1,0.0007,0.003094,689.3333333333334,203.66666666666666,98.33333333333333,84.0,0.9114306972789116,0.9409749999999999,0.8234888888888889,0.16066666666666674
0.9928650793650794,0.9678253965756252,type1,0.0007,0.0032990000000000003,687.0,182.66666666666666,94.33333333333333,82.33333333333333,0.9204294217687075,0.9410472222222221,0.8172777777777777,0.18033333333333332
0.9912301587301586,0.9675238098189946,type1,0.0007,0.003505,691.3333333333334,203.0,89.33333333333333,83.66666666666667,0.9049957482993198,0.9349638888888889,0.8297,0.16633333333333333
0.990063492063492,0.966841269455259,type1,0.0007,0.003711,693.3333333333334,238.33333333333334,85.0,84.33333333333333,0.8952816751700681,0.9369305555555556,0.8466777777777779,0.15700000000000003
0.9902142857142856,0.9648253967572772,type1,0.0007,0.003915999999999999,687.6666666666666,205.66666666666666,87.0,82.33333333333333,0.9095195578231291,0.9439138888888889,0.843511111111111,0.17766666666666667
0.9742857142857143,0.9550634919499594,type1,0.0007,0.007821999999999999,692.6666666666666,257.6666666666667,61.666666666666664,78.66666666666667,0.9558375850340136,0.9609444444444445,0.8924666666666666,0.21433333333333335
0.9587698412698411,0.942730158571213,type1,0.0007,0.015635,691.6666666666666,244.66666666666666,30.666666666666668,66.0,0.9640380527210883,0.9711444444444445,0.9375333333333332,0.3403333333333333
0.9352222222222221,0.9235238094329835,type1,0.0007,0.03126,692.0,288.3333333333333,17.0,63.0,0.9762478741496597,0.9757388888888889,0.9535333333333332,0.37600000000000006
0.8847222222222223,0.8768888888207692,type1,0.0007,0.06250900000000001,691.6666666666666,397.0,7.666666666666667,47.666666666666664,0.9501073554421767,0.9792861111111112,0.9767777777777779,0.5303333333333332
0.11263492063492064,0.11263492066046549,type1,0.0007,0.12500899999999998,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11246031746031747,0.11246031753600588,type1,0.0007,0.25000700000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11274603174603175,0.11274603175927722,type1,0.0007,0.500005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.9995079365079366,0.9726349204911126,type1,0.0009,0.00021600000000000002,705.0,400.0,299.6666666666667,96.66666666666667,0.14753932823129254,0.005530555555555557,0.020577777777777806,0.03600000000000003
0.9999761904761905,0.9774761899539403,type1,0.0009,0.000421,685.6666666666666,397.3333333333333,245.66666666666666,87.33333333333333,0.3780378401360544,0.3569111111111111,0.3655777777777778,0.12866666666666662
0.9998650793650793,0.978253967973921,type1,0.0009,0.000627,686.6666666666666,392.3333333333333,212.0,90.66666666666667,0.42192070578231294,0.4912972222222222,0.4416666666666667,0.10433333333333332
0.9995952380952381,0.9761904764251104,type1,0.0009,0.0008320000000000001,696.6666666666666,379.6666666666667,208.66666666666666,90.33333333333333,0.4921885629251701,0.6003305555555555,0.5132555555555555,0.09866666666666668
0.9993174603174605,0.975047618661608,type1,0.0009,0.001038,691.3333333333334,346.0,181.0,85.0,0.6086936649659863,0.7437027777777777,0.6258222222222223,0.15966666666666665
0.9986190476190476,0.9740634920407855,type1,0.0009,0.0012439999999999999,702.3333333333334,352.3333333333333,174.0,84.33333333333333,0.5896906887755102,0.7460472222222222,0.6349666666666667,0.1566666666666667
0.9984285714285713,0.9749365076640295,type1,0.0009,0.001449,687.3333333333334,328.0,146.66666666666666,83.66666666666667,0.6892272534013605,0.8171027777777778,0.7049,0.168
0.9985714285714287,0.9737301590177748,type1,0.0009,0.001655,692.3333333333334,300.0,117.0,83.0,0.7666794217687075,0.8781166666666667,0.7722333333333333,0.17666666666666667
0.9971984126984127,0.9737142854418073,type1,0.0009,0.00186,688.0,308.0,123.0,86.0,0.7377242772108844,0.8614166666666666,0.7570333333333332,0.15700000000000003
0.9967460317460318,0.9730952377092271,type1,0.0009,0.001963,690.0,312.6666666666667,140.33333333333334,84.33333333333333,0.7519164540816327,0.8554611111111111,0.7362222222222222,0.16033333333333336
0.9968571428571429,0.9716666661519854,type1,0.0009,0.002066,688.3333333333334,282.3333333333333,112.0,84.0,0.7998767006802722,0.8978499999999999,0.7906333333333334,0.16033333333333336
0.9957857142857143,0.9717777781259448,type1,0.0009,0.002271,695.3333333333334,268.6666666666667,116.66666666666667,82.0,0.8152200255102041,0.8998638888888889,0.788088888888889,0.18100000000000002
0.9958015873015874,0.9722698414287869,type1,0.0009,0.002477,698.0,269.6666666666667,97.33333333333333,86.0,0.7976977040816328,0.9085694444444444,0.811288888888889,0.14100000000000001
0.9950714285714285,0.971650793446435,type1,0.0009,0.0026829999999999996,692.3333333333334,285.6666666666667,85.33333333333333,84.66666666666667,0.8050053146258502,0.9117722222222223,0.8309333333333333,0.15833333333333335
0.9946587301587302,0.9706825393040974,type1,0.0009,0.002888,696.0,281.0,90.0,82.0,0.8335278486394558,0.9208305555555557,0.8380333333333333,0.18633333333333332
0.9937142857142858,0.9700952378303286,type1,0.0009,0.003094,689.0,285.0,82.0,84.0,0.8356962159863945,0.9238027777777779,0.8449888888888889,0.1606666666666667
0.9934603174603174,0.9703174604839749,type1,0.0009,0.0032990000000000003,691.0,257.0,67.0,83.33333333333333,0.8551009778911564,0.9355222222222223,0.8614666666666667,0.17066666666666666
